,VTTS ($/min),WTP ($),city_ID,city_name,cost_delta ($),cost_uam ($),dist_range,distance,inc_range,income,mode,purpose,trip_cost_m ($),trip_time_m (min),trip_time_saved (min),trip_time_uam (min),uam_pax_trips,uam_pkt,uam_ticket_cost,uam_utilization,uam_vehicle_trips,vertiport_density
0,0.125,-82.00758122396242,3.0,Moscow,-93.09556695264627,11.08798572868385,[ 0. 22.],11.0,[    0. 26000.],13000.0,personal_vehicle,business,6.159299344000001,42.53359136048486,-705.3350445436994,747.8686359041842,0.0,0.0,0.8045,0.0,0.0,120.0
1,0.125,-76.97876138767813,3.0,Moscow,-96.50924711636199,19.53048572868385,[22. 44.],33.0,[    0. 26000.],13000.0,personal_vehicle,business,10.474298032,53.74416054675902,-699.6244753574251,753.3686359041842,0.0,0.0,0.8045,0.0,0.0,120.0
2,0.125,-71.24694925430033,3.0,Moscow,-99.21993498298419,27.972985728683852,[44. 66.],55.0,[    0. 26000.],13000.0,personal_vehicle,business,14.78929672,70.57866810978153,-688.2899677944026,758.8686359041842,0.0,0.0,0.8045,0.0,0.0,120.0
3,0.125,-65.60429750431491,3.0,Moscow,-102.01978323299876,36.41548572868385,[66. 88.],77.0,[    0. 26000.],13000.0,personal_vehicle,business,19.104295408000002,86.69989260566487,-677.6687432985193,764.3686359041842,0.0,0.0,0.8045,0.0,0.0,120.0
4,0.125,-60.0489372780753,3.0,Moscow,-104.90692300675914,44.85798572868385,[ 88. 110.],99.0,[    0. 26000.],13000.0,personal_vehicle,business,23.419294096,102.12278491158182,-667.7458509926024,769.8686359041842,0.0,0.0,0.8045,0.0,0.0,120.0
5,0.125,-51.84342713722755,3.0,Moscow,-109.3651628659114,57.52173572868385,[110. 154.],132.0,[    0. 26000.],13000.0,personal_vehicle,business,29.891792128000002,124.23688178236371,-653.8817541218204,778.1186359041842,0.0,0.0,0.8045,0.0,0.0,120.0
6,0.125,-39.77632362798426,3.0,Moscow,-114.18305935666811,74.40673572868386,[154. 198.],176.0,[    0. 26000.],13000.0,personal_vehicle,business,38.521789504000004,162.7337308483101,-626.3849050558741,789.1186359041842,0.0,0.0,0.8045,0.0,0.0,120.0
7,0.125,-27.43589716297457,3.0,Moscow,-118.72763289165843,91.29173572868386,[198. 242.],220.0,[    0. 26000.],13000.0,personal_vehicle,business,47.15178688,203.41716356038765,-596.7014723437966,800.1186359041842,0.0,0.0,0.8045,0.0,0.0,120.0
8,0.125,-15.09547069796487,3.0,Moscow,-123.27220642664872,108.17673572868385,[242. 286.],264.0,[    0. 26000.],13000.0,personal_vehicle,business,55.78178425600001,244.10059627246517,-567.018039631719,811.1186359041842,0.0,0.0,0.8045,0.0,0.0,120.0
9,0.375,-258.3413423598873,3.0,Moscow,-269.42932808857114,11.08798572868385,[ 0. 22.],11.0,[26000. 52000.],39000.0,personal_vehicle,business,6.159299344000001,42.53359136048486,-705.3350445436994,747.8686359041842,0.0,0.0,0.8045,0.0,0.0,120.0
10,0.375,-251.88488022703442,3.0,Moscow,-271.41536595571824,19.53048572868385,[22. 44.],33.0,[26000. 52000.],39000.0,personal_vehicle,business,10.474298032,53.74416054675902,-699.6244753574251,753.3686359041842,0.0,0.0,0.8045,0.0,0.0,120.0
11,0.375,-243.319441202901,3.0,Moscow,-271.2924269315848,27.972985728683852,[44. 66.],55.0,[26000. 52000.],39000.0,personal_vehicle,business,14.78929672,70.57866810978153,-688.2899677944026,758.8686359041842,0.0,0.0,0.8045,0.0,0.0,120.0
12,0.375,-235.02148332894473,3.0,Moscow,-271.4369690576286,36.41548572868385,[66. 88.],77.0,[26000. 52000.],39000.0,personal_vehicle,business,19.104295408000002,86.69989260566487,-677.6687432985193,764.3686359041842,0.0,0.0,0.8045,0.0,0.0,120.0
13,0.375,-226.98540002622593,3.0,Moscow,-271.8433857549098,44.85798572868385,[ 88. 110.],99.0,[26000. 52000.],39000.0,personal_vehicle,business,23.419294096,102.12278491158182,-667.7458509926024,769.8686359041842,0.0,0.0,0.8045,0.0,0.0,120.0
14,0.375,-215.31386566768268,3.0,Moscow,-272.83560139636654,57.52173572868385,[110. 154.],132.0,[26000. 52000.],39000.0,personal_vehicle,business,29.891792128000002,124.23688178236371,-653.8817541218204,778.1186359041842,0.0,0.0,0.8045,0.0,0.0,120.0
15,0.375,-196.3725498919528,3.0,Moscow,-270.77928562063664,74.40673572868386,[154. 198.],176.0,[26000. 52000.],39000.0,personal_vehicle,business,38.521789504000004,162.7337308483101,-626.3849050558741,789.1186359041842,0.0,0.0,0.8045,0.0,0.0,120.0
16,0.375,-176.61126524892373,3.0,Moscow,-267.9030009776076,91.29173572868386,[198. 242.],220.0,[26000. 52000.],39000.0,personal_vehicle,business,47.15178688,203.41716356038765,-596.7014723437966,800.1186359041842,0.0,0.0,0.8045,0.0,0.0,120.0
17,0.375,-156.84998060589461,3.0,Moscow,-265.02671633457845,108.17673572868385,[242. 286.],264.0,[26000. 52000.],39000.0,personal_vehicle,business,55.78178425600001,244.10059627246517,-567.018039631719,811.1186359041842,0.0,0.0,0.8045,0.0,0.0,120.0
18,0.625,-434.67510349581215,3.0,Moscow,-445.763089224496,11.08798572868385,[ 0. 22.],11.0,[52000. 78000.],65000.0,personal_vehicle,business,6.159299344000001,42.53359136048486,-705.3350445436994,747.8686359041842,0.0,0.0,0.8045,0.0,0.0,120.0
19,0.625,-426.7909990663907,3.0,Moscow,-446.3214847950746,19.53048572868385,[22. 44.],33.0,[52000. 78000.],65000.0,personal_vehicle,business,10.474298032,53.74416054675902,-699.6244753574251,753.3686359041842,0.0,0.0,0.8045,0.0,0.0,120.0
20,0.625,-415.39193315150163,3.0,Moscow,-443.3649188801855,27.972985728683852,[44. 66.],55.0,[52000. 78000.],65000.0,personal_vehicle,business,14.78929672,70.57866810978153,-688.2899677944026,758.8686359041842,0.0,0.0,0.8045,0.0,0.0,120.0
21,0.625,-404.43866915357455,3.0,Moscow,-440.8541548822584,36.41548572868385,[66. 88.],77.0,[52000. 78000.],65000.0,personal_vehicle,business,19.104295408000002,86.69989260566487,-677.6687432985193,764.3686359041842,0.0,0.0,0.8045,0.0,0.0,120.0
22,0.625,-393.9218627743765,3.0,Moscow,-438.77984850306035,44.85798572868385,[ 88. 110.],99.0,[52000. 78000.],65000.0,personal_vehicle,business,23.419294096,102.12278491158182,-667.7458509926024,769.8686359041842,0.0,0.0,0.8045,0.0,0.0,120.0
23,0.625,-378.78430419813776,3.0,Moscow,-436.3060399268216,57.52173572868385,[110. 154.],132.0,[52000. 78000.],65000.0,personal_vehicle,business,29.891792128000002,124.23688178236371,-653.8817541218204,778.1186359041842,0.0,0.0,0.8045,0.0,0.0,120.0
24,0.625,-352.9687761559213,3.0,Moscow,-427.3755118846052,74.40673572868386,[154. 198.],176.0,[52000. 78000.],65000.0,personal_vehicle,business,38.521789504000004,162.7337308483101,-626.3849050558741,789.1186359041842,0.0,0.0,0.8045,0.0,0.0,120.0
25,0.625,-325.7866333348728,3.0,Moscow,-417.0783690635567,91.29173572868386,[198. 242.],220.0,[52000. 78000.],65000.0,personal_vehicle,business,47.15178688,203.41716356038765,-596.7014723437966,800.1186359041842,0.0,0.0,0.8045,0.0,0.0,120.0
26,0.625,-298.60449051382443,3.0,Moscow,-406.7812262425083,108.17673572868385,[242. 286.],264.0,[52000. 78000.],65000.0,personal_vehicle,business,55.78178425600001,244.10059627246517,-567.018039631719,811.1186359041842,0.0,0.0,0.8045,0.0,0.0,120.0
27,0.8749999999999999,-611.0088646317369,3.0,Moscow,-622.0968503604207,11.08798572868385,[ 0. 22.],11.0,[ 78000. 104000.],91000.0,personal_vehicle,business,6.159299344000001,42.53359136048486,-705.3350445436994,747.8686359041842,0.0,0.0,0.8045,0.0,0.0,120.0
28,0.8749999999999999,-601.697117905747,3.0,Moscow,-621.2276036344308,19.53048572868385,[22. 44.],33.0,[ 78000. 104000.],91000.0,personal_vehicle,business,10.474298032,53.74416054675902,-699.6244753574251,753.3686359041842,0.0,0.0,0.8045,0.0,0.0,120.0
29,0.8749999999999999,-587.4644251001022,3.0,Moscow,-615.437410828786,27.972985728683852,[44. 66.],55.0,[ 78000. 104000.],91000.0,personal_vehicle,business,14.78929672,70.57866810978153,-688.2899677944026,758.8686359041842,0.0,0.0,0.8045,0.0,0.0,120.0
30,0.8749999999999999,-573.8558549782043,3.0,Moscow,-610.2713407068882,36.41548572868385,[66. 88.],77.0,[ 78000. 104000.],91000.0,personal_vehicle,business,19.104295408000002,86.69989260566487,-677.6687432985193,764.3686359041842,0.0,0.0,0.8045,0.0,0.0,120.0
31,0.8749999999999999,-560.858325522527,3.0,Moscow,-605.7163112512109,44.85798572868385,[ 88. 110.],99.0,[ 78000. 104000.],91000.0,personal_vehicle,business,23.419294096,102.12278491158182,-667.7458509926024,769.8686359041842,0.0,0.0,0.8045,0.0,0.0,120.0
32,0.8749999999999999,-542.2547427285928,3.0,Moscow,-599.7764784572767,57.52173572868385,[110. 154.],132.0,[ 78000. 104000.],91000.0,personal_vehicle,business,29.891792128000002,124.23688178236371,-653.8817541218204,778.1186359041842,0.0,0.0,0.8045,0.0,0.0,120.0
33,0.8749999999999999,-509.56500241988977,3.0,Moscow,-583.9717381485736,74.40673572868386,[154. 198.],176.0,[ 78000. 104000.],91000.0,personal_vehicle,business,38.521789504000004,162.7337308483101,-626.3849050558741,789.1186359041842,0.0,0.0,0.8045,0.0,0.0,120.0
34,0.8749999999999999,-474.96200142082193,3.0,Moscow,-566.2537371495058,91.29173572868386,[198. 242.],220.0,[ 78000. 104000.],91000.0,personal_vehicle,business,47.15178688,203.41716356038765,-596.7014723437966,800.1186359041842,0.0,0.0,0.8045,0.0,0.0,120.0
35,0.8749999999999999,-440.3590004217541,3.0,Moscow,-548.535736150438,108.17673572868385,[242. 286.],264.0,[ 78000. 104000.],91000.0,personal_vehicle,business,55.78178425600001,244.10059627246517,-567.018039631719,811.1186359041842,0.0,0.0,0.8045,0.0,0.0,120.0
36,1.125,-787.3426257676617,3.0,Moscow,-798.4306114963456,11.08798572868385,[ 0. 22.],11.0,[104000. 130000.],117000.0,personal_vehicle,business,6.159299344000001,42.53359136048486,-705.3350445436994,747.8686359041842,0.0,0.0,0.8045,0.0,0.0,120.0
37,1.125,-776.6032367451032,3.0,Moscow,-796.1337224737871,19.53048572868385,[22. 44.],33.0,[104000. 130000.],117000.0,personal_vehicle,business,10.474298032,53.74416054675902,-699.6244753574251,753.3686359041842,0.0,0.0,0.8045,0.0,0.0,120.0
38,1.125,-759.5369170487029,3.0,Moscow,-787.5099027773867,27.972985728683852,[44. 66.],55.0,[104000. 130000.],117000.0,personal_vehicle,business,14.78929672,70.57866810978153,-688.2899677944026,758.8686359041842,0.0,0.0,0.8045,0.0,0.0,120.0
39,1.125,-743.2730408028342,3.0,Moscow,-779.688526531518,36.41548572868385,[66. 88.],77.0,[104000. 130000.],117000.0,personal_vehicle,business,19.104295408000002,86.69989260566487,-677.6687432985193,764.3686359041842,0.0,0.0,0.8045,0.0,0.0,120.0
40,1.125,-727.7947882706777,3.0,Moscow,-772.6527739993616,44.85798572868385,[ 88. 110.],99.0,[104000. 130000.],117000.0,personal_vehicle,business,23.419294096,102.12278491158182,-667.7458509926024,769.8686359041842,0.0,0.0,0.8045,0.0,0.0,120.0
41,1.125,-705.725181259048,3.0,Moscow,-763.2469169877319,57.52173572868385,[110. 154.],132.0,[104000. 130000.],117000.0,personal_vehicle,business,29.891792128000002,124.23688178236371,-653.8817541218204,778.1186359041842,0.0,0.0,0.8045,0.0,0.0,120.0
42,1.125,-666.1612286838583,3.0,Moscow,-740.5679644125422,74.40673572868386,[154. 198.],176.0,[104000. 130000.],117000.0,personal_vehicle,business,38.521789504000004,162.7337308483101,-626.3849050558741,789.1186359041842,0.0,0.0,0.8045,0.0,0.0,120.0
43,1.125,-624.1373695067712,3.0,Moscow,-715.429105235455,91.29173572868386,[198. 242.],220.0,[104000. 130000.],117000.0,personal_vehicle,business,47.15178688,203.41716356038765,-596.7014723437966,800.1186359041842,0.0,0.0,0.8045,0.0,0.0,120.0
44,1.125,-582.1135103296839,3.0,Moscow,-690.2902460583678,108.17673572868385,[242. 286.],264.0,[104000. 130000.],117000.0,personal_vehicle,business,55.78178425600001,244.10059627246517,-567.018039631719,811.1186359041842,0.0,0.0,0.8045,0.0,0.0,120.0
45,1.3749999999999998,-963.6763869035865,3.0,Moscow,-974.7643726322704,11.08798572868385,[ 0. 22.],11.0,[130000. 156000.],143000.0,personal_vehicle,business,6.159299344000001,42.53359136048486,-705.3350445436994,747.8686359041842,0.0,0.0,0.8045,0.0,0.0,120.0
